Gua Harimau,MNI (Occurences)
Taxon,
Artiodactyls,2
"Bears, Cats, Cuon Dog",1
"Gibbons, Monkeys",12
Rodents,3
,
Reference,
"Zolkurnian, H. 1998. Urutan kebudayaan prasejarah Lembah Lenggong, Hulu Perak, Perak pada zaman Holosen. Unpublished thesis (MA) Universiti Sains Malaysia. ",
"Bulbeck, F. 2003. Hunter-Gatherer Occupation of the Malay Peninsula from the Ice Age to the Iron Age. In Mercader, J (ed.) Under the Canopy: The Archaeology of Tropical Rain Forests. New Brunswick: Rutgers University Press. 119-160. ",
