,,,NISP per site,,,,
Taxonomic Classification,Occurences,NISP,Tham Lod,Lang Kamnan,Lang Rongrien,Khao Toh Chong,Thung Nong Nien
Cervidae ,42,2656,2234,11,118,6,287
Testudines ,14,2503,746,121,1221,215,200
Bovidae ,26,587,561,9,11,1,5
Suidae ,13,530,356,,55,,119
Pisces ,7,427,27,,9,7,384
Varanidae,7,384,1,2,,39,342
Primates,29,315,23,,,25,267
