,,,NISP per site,,,,,
Taxonomic Classification,Occurences,NISP,Tham Lod,Lang Kamnan,Lang Rongrien,Khao Toh Chong,Moh Khiew II,Thung Nong Nien
Testudines ,14,14454,746,121,1221,215,11951,200
Varanidae,7,3966,1,2,,39,3582,342
Cervidae ,42,3000,2234,11,118,6,344,287
Primate,29,2275,23,,,25,1960,267
Suidae ,13,897,356,,55,,367,119
Bovidae ,26,662,561,9,11,1,75,5
Pisces ,7,527,27,,9,7,100,384
