,,,NISP per site,,,,
Taxonomic Classification,Occurences,Total NISP,Gua Gunung Runtuh,Gua Peraling,Gua Kechil,Gua Tenggek,Gua Sagu
Suidae,9,212,26,152,28,,6
Testudines,14,212,4,23,22,11,152
Primate,18,76,24,50,,,2
Pisces ,7,60,,43,9,,8
Cervidae ,10,54,13,16,7,,18
Varanus sp. ,4,24,1,14,,,9
Bovidae,6,6,1,,,1,4
