Gua Ngaum,MNI (Occurences)
Taxon,
Artiodactyls,11
"Gibbons, Monkeys",5
Rodents,5
,
Reference,
"Zolkurnian, H. 1998. Urutan kebudayaan prasejarah Lembah Lenggong, Hulu Perak, Perak pada zaman Holosen. Unpublished thesis (MA) Universiti Sains Malaysia. ",
"Bulbeck, F. 2003. Hunter-Gatherer Occupation of the Malay Peninsula from the Ice Age to the Iron Age. In Mercader, J (ed.) Under the Canopy: The Archaeology of Tropical Rain Forests. New Brunswick: Rutgers University Press. 119-160. ",
