Faunal Publications,NISP,MNI,Presence/Absence,Descriptive
1930-1940,0,0,0,1
1960-1970,1,0,1,0
1970-1980,0,0,1,0
1980-1990,0,2,1,2
1990-2000,3,5,1,0
2000-2010,3,0,0,3
2010-Present,4,0,0,0
